Date of data Extraction,Brand,Product name,ProductID,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:29:40 UTC,allen's,Allen's Fantales Hot Choc,690922,Drinks,10pk,,,,,,,,,,,6.6,TRUE,5,FALSE,,
2018-08-15 06:29:40 UTC,allen's,Allen's Jaffas Hot Choc,690923,Drinks,10pk,,,,,,,,,,,6.6,TRUE,5,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Frosty Fruits ,680287,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Drumstick ,680288,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Pineapples ,409334,Pantry,170g bag,20g,8,,1460kJ,3.3g,<1g,<1g,81.6g,45.4g,100mg,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Peaches & Cream ,458038,Pantry,170g bag,20g (Approx 3 Peaches & Cream),8,,1470kJ,3.6g,<1g,<1g,82.6g,45.8g,100mg,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Jelly Beans ,307685,Pantry,190g bag,20g,9,,1560kJ,<1g,<1g,<1g,91.7g,61.0g,58mg,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Frog Family,658466,Pantry,170g,g,,,,,,,,,,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Minties ,840453,Pantry,370g bag,20g,18,,1560kJ,1.5g,<1g,<1g,89.6g,54.3g,58mg,5,FALSE,5,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Minties ,213965,Pantry,150g bag,20g,7,,1560kJ,1.5g,<1g,<1g,89.6g,54.3g,58mg,3,TRUE,2,FALSE,,
2018-08-15 07:50:08 UTC,allen's,Allen's Kool Mints ,213966,Pantry,150g bag,15g,10,,1660kJ,<1g,2.3g,2.0g,92.2g,69.3g,29mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:35 UTC,allen's,Allen's Freckles Family Size,362490,Pantry,340g bag,20g,17,,2010kJ,4.7g,18.6g,16.2g,72.0g,67.5g,100mg,5.2,FALSE,5.2,FALSE,,
2018-08-15 09:29:35 UTC,allen's,Allen's Snakes Alive Lollies,840455,Pantry,450g bag,25g,18,,1410kJ,4.6g,<1g,<1g,77.0g,44.1g,99mg,5,FALSE,5,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Chicos ,307678,Pantry,190g bag,20g,9,,1440kJ,1.2g,1.0g,<1g,80.1g,43.1g,255mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Strawberries & Cream ,307689,Pantry,190g bag,20g,9,,1460kJ,3.5g,<1g,<1g,82.0g,45.5g,100mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Ripe Raspberries ,307975,Pantry,190g bag,20g,9,,1440kJ,4.2g,<1g,<1g,80.0g,44.1g,99mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Party Mix Retro ,307682,Pantry,190g bag,20g,9,,1450kJ,3.9g,<1g,<1g,80.6g,45.7g,100mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Frogs Alive ,307692,Pantry,190g bag,20g,9,,1440kJ,4.7g,<1g,<1g,79.4g,41.0g,105mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Party Mix Fat Free ,307681,Pantry,190g bag,20g,9,,1460kJ,,<1g,<1g,81.8g,48.5g,95mg,3,TRUE,2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Chewmix ,840454,Pantry,370g bag,15g,25,,1640kJ,1.3g,4.9g,3.8g,84.1g,57.3g,120mg,5,FALSE,5,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Party Mix Classic Lollies,840467,Pantry,465g bag,20g,23,,1440kJ,4.2g,<1g,<1g,79.9g,45.7g,100mg,5,FALSE,5,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Party Mix ,840466,Pantry,465g bag,20g,23,,1460kJ,3.7g,<1g,<1g,81.8g,48.5g,95mg,5,FALSE,5,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Red Skins Family Bag ,682191,Pantry,330g,g,,,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Fantales Jumbo,348170,Pantry,340g bag,20g,17,,1880kJ,2.9g,15.8g,13.4g,73g,56g,120mg,5.2,FALSE,5.2,FALSE,,
2018-08-15 09:29:36 UTC,allen's,Allen's Lollypops ,39568,Pantry,265g bag,,,,,<1g,,,,78.1g,,4.25,FALSE,4.25,FALSE,,
