Date of data Extraction,Brand,Product name,Category,Pack size,Serving size,Servings per pack,Product code,Energy per 100g (or 100ml),Protein per 100g (or 100ml),Total fat per 100g (or 100ml),Saturated fat per 100g (or 100ml),Carbohydrate per 100g (or 100ml),Sugars per 100g (or 100ml),Sodium per 100g (or 100ml),Original Price,Price Promoted,Price Promoted Price,Multi Buy Special,Multi Buy Special Details,Multi Buy Price
2018-08-15 06:09:48 UTC,4 Pines Brewing,Pale Ale 330mL Bottles,Liquor,1 carton,,,8560938P,,,,,,,,72,FALSE,72,FALSE,,
2018-08-15 06:09:37 UTC,A2,No Fat Milk,"Dairy, Eggs & Meals",1L,,,3070829P,,,,,,,,2.9,FALSE,2.9,FALSE,,
2018-08-15 06:09:37 UTC,A2,Reduced Fat Milk,"Dairy, Eggs & Meals",1L,,,9760047P,,,,,,,,2.9,FALSE,2.9,FALSE,,
2018-08-15 06:09:37 UTC,A2,Reduced Fat Milk,"Dairy, Eggs & Meals",2L,,,9759944P,,,,,,,,4.8,FALSE,4.8,FALSE,,
2018-08-15 06:09:37 UTC,A2,Full Cream Milk,"Dairy, Eggs & Meals",1L,,,9760070P,,,,,,,,2.9,FALSE,2.9,FALSE,,
2018-08-15 06:09:37 UTC,A2,Full Cream Milk,"Dairy, Eggs & Meals",2L,,,9760091P,,,,,,,,4.8,FALSE,4.8,FALSE,,
2018-08-15 06:09:44 UTC,A2,Full Cream Milk Powder,Drinks,1kg,,,2412654P,,,,,,,,14,FALSE,14,FALSE,,
2018-08-15 06:10:00 UTC,A2,Platinum Premium Stage 1 Infant Formula,Baby,900g,,,1546429P,,,,,,,,35.6,FALSE,35.6,FALSE,,
2018-08-15 06:10:00 UTC,A2,Platinum Premium Follow On Stage 2 Infant Formula,Baby,900g,,,1546418P,,,,,,,,35.6,FALSE,35.6,FALSE,,
2018-08-15 06:10:00 UTC,A2,Platinum Premium Stage 3 Toddler Milk,Baby,900g,,,1546430P,,,,,,,,28,FALSE,28,FALSE,,
2018-08-15 06:10:04 UTC,A2,Platinum Premium Stage 4 Infant Formula,Baby,900g,,,3012720P,,,,,,,,29,FALSE,29,FALSE,,
2018-08-15 06:10:04 UTC,A2 Platinum Premium,Pregnancy Formula,Baby,900g,,,3222880P,,,,,,,,35.6,FALSE,35.6,FALSE,,
2018-08-15 06:09:30 UTC,Abbotts Village,Gluten Free Rustic White,Bread & Bakery,500g,83g (2 slices),6,3216913P,1120kJ,4.1g,3.7g,0.3g,52.6g,2.3g,259mg,7,FALSE,7,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village,Country Grains,Bread & Bakery,800g,,,3237196P,1050kJ,8.9g,3.5g,0.5g,43.0g,3.3g,393mg,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village,Harvest Seeds & Grains,Bread & Bakery,750g,84g,,7534885P,1180kJ,11.0g,5.2g,0.6g,42.9g,2.8g,400mg,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village,Rustic White,Bread & Bakery,700g,,,3237185P,,,,,,,,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village,Light Rye,Bread & Bakery,680g,76g,,7226023P,1040kJ,9.5g,2.4g,0.5g,42.3g,3.4g,360mg,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:30 UTC,Abbott's Village,Farmhouse Wholemeal,Bread & Bakery,750g,84g,,7226034P,987kJ,10.0g,2.7g,0.6g,38.4g,2.6g,348mg,3.5,FALSE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Sensations Toasted Soy & Chickpea,Bread & Bakery,700g,,,3235066P,1110kJ,11.4g,4.5g,0.6g,42.6g,3.7g,400mg,4,TRUE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Sensations Pumpkin & Sunflower Seeds,Bread & Bakery,750g,,,3235055P,990kJ,9.2g,2.2g,0.5g,41.3g,3.4g,400mg,4,TRUE,3.5,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Gluten Free Soy & Linseed Bread,Bread & Bakery,500g,83g (2 slices),6,2834247P,1140kJ,6.5g,6.6g,0.7g,43.5g,5.0g,364mg,7,FALSE,7,FALSE,,
2018-08-15 06:09:29 UTC,Abbott's Village Bakery,Gluten Free Mixed Seeds,Bread & Bakery,500g,83g (2 slices),6,2834225P,1230kJ,6.3g,10.1g,1.1g,41.4g,4.2g,337mg,7,FALSE,7,FALSE,,
2018-08-15 06:09:30 UTC,Abbott's Village Bakery,Sensations Sundried Tomato & Basil,Bread & Bakery,700g,,,3235044P,1050kJ,45g,2.8g,0.5g,45g,4.5g,400mg,4,TRUE,3.5,FALSE,,
2018-08-15 06:09:54 UTC,ABC,Sweet Soy Sauce,Pantry,275mL,,,9756108P,,,,,,,,2,FALSE,2,FALSE,,
2018-08-15 06:09:55 UTC,ABC,Sweet Soy Sauce,Pantry,620mL,,,5252565P,,,,,,,,4.9,FALSE,4.9,FALSE,,
2018-08-15 06:10:05 UTC,ABC,Extra Hot Chilli Sauce,Pantry,340mL,,,5422199P,,,,,,,,2.8,FALSE,2.8,FALSE,,
2018-08-15 06:10:05 UTC,ABC,Original Chilli Sauce,Pantry,335mL,,,5422202P,,,,,,,,2.8,FALSE,2.8,FALSE,,
2018-08-15 06:09:30 UTC,Abes,Bagels Vegemite 4pk,Bread & Bakery,360g,,,3188512P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:29 UTC,Abe's,Sesame Seed,Bread & Bakery,360g,,,2901989P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:29 UTC,Abe's,Natural,Bread & Bakery,360g,,,2901978P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:30 UTC,Abe's,Bagels Cinnamon & Raisin 4 Pack,Bread & Bakery,360g,,,3188523P,,,,,,,,5,FALSE,5,FALSE,,
2018-08-15 06:09:44 UTC,Abe's,Bagel Crisps Garlic Crackers,Pantry,150g,23g,6,7593228P,1850kJ,10.8g,12.7g,1.2g,68.6g,,530mg,3.2,FALSE,3.2,FALSE,,
2018-08-15 06:09:50 UTC,Abe's,Vegemite Bagel Crisps,Pantry,150g,,,2528681P,,,,,,,,3.2,FALSE,3.2,FALSE,,
2018-08-15 06:09:57 UTC,Abe's,Bagel Crisps Sea Salt Crackers,Pantry,150g,23g,6,7593239P,1820kJ,10.5g,12.7g,1.2g,67.4g,6.9g,1160mg,3.2,FALSE,3.2,FALSE,,
2018-08-15 06:09:54 UTC,Absolut,Vodka,Liquor,700mL,,,33039P,,,,,,,,46,TRUE,40,FALSE,,
2018-08-15 06:09:45 UTC,Abundant Earth,Puffed Corn Cereal,Pantry,170g,14g,12,5419161P,1610kJ,3.9g,2.3g,Less than 1.0g,79.0g,1.0g,Less than 5mg,3.35,FALSE,3.35,FALSE,,
2018-08-15 06:09:45 UTC,Abundant Earth,Puffed Rice Cereal,Pantry,170g,14g,12,5405291P,1610kJ,7.1g,2.6g,Less than 1.0g,84.6g,1.1g,Less than 5mg,3.35,FALSE,3.35,FALSE,,
2018-08-15 06:09:35 UTC,Activia,Field Berries Yoghurt Low Fat 4 pack,"Dairy, Eggs & Meals",125g,125g,1,8169435P,372kJ,4.9g,1.5g,1.0g,13.5g,13.2g,76mg,4.4,TRUE,3,FALSE,,
2018-08-15 06:09:37 UTC,Activia,Seeds & Grains Original Probiotic Yoghurt 4 Pack,"Dairy, Eggs & Meals",125g,125 g (grammes),4,2990898P,462kJ,4.7g,4.3g,2.4g,12.3g,10.8g,65mg,4.4,TRUE,3,FALSE,,
2018-08-15 06:09:37 UTC,Activia,Mango Yoghurt 4 pack,"Dairy, Eggs & Meals",125g,125g,4,8872089P,-,-,-,-,-,-,-,4.4,TRUE,3,FALSE,,
2018-08-15 06:09:38 UTC,Activia,Vanilla Yoghurt Low Fat 4 pack,"Dairy, Eggs & Meals",125g,125g,1,8169355P,367kJ,4.8g,1.5g,1.0g,13.5g,12.9g,77mg,4.4,TRUE,3,FALSE,,
2018-08-15 06:09:39 UTC,Activia,Strawberry Yoghurt Low Fat 4 pack,"Dairy, Eggs & Meals",125g,125g,1,8169424P,370kJ,4.9g,1.5g,1.0g,13.5g,13.1g,77mg,4.4,TRUE,3,FALSE,,
